unit_id,insurer,document_label,source_file,page,question_text,auto_codes,coder1_final,coder2_final
1,Beazley,Beazley Ransomware Supplemental Application,de633464-c433-44e1-a524-fb0822d746fa.pdf,1,6. Do you require additional training for employees who fail phishing email simulations?,Security Awareness and Phishing Training,Security Awareness and Phishing Training,Security Awareness and Phishing Training
2,Beazley,Beazley Ransomware Supplemental Application,de633464-c433-44e1-a524-fb0822d746fa.pdf,2,12. Do you provide your employees with password management software?,Password and Privileged Access Management,Password and Privileged Access Management,Password and Privileged Access Management
3,Beazley,Beazley Ransomware Supplemental Application,de633464-c433-44e1-a524-fb0822d746fa.pdf,2,"13. Do you enforce MFA for all Domain Administrator accounts? Please note any exceptions in the “Other Cybersecurity Controls & Preventative Measures” section, below. “Domain Administrator accounts” does not include service accounts, which are addressed in a separate section below.",Multi-Factor Authentication,Multi-Factor Authentication,Multi-Factor Authentication
4,Beazley,Beazley Ransomware Supplemental Application,de633464-c433-44e1-a524-fb0822d746fa.pdf,2,"14. Do you permit ordinary users local administrator rights to their devices (e.g., laptops)?",Password and Privileged Access Management,Password and Privileged Access Management,Password and Privileged Access Management
5,Beazley,Beazley Ransomware Supplemental Application,de633464-c433-44e1-a524-fb0822d746fa.pdf,2,15. a. Do you use a Privileged Access Management (PAM) tool?,Password and Privileged Access Management,Password and Privileged Access Management,Password and Privileged Access Management
6,Beazley,Beazley Ransomware Supplemental Application,de633464-c433-44e1-a524-fb0822d746fa.pdf,2,16. Do you use an asset discovery tool that continuously maps devices on your internal network?,Asset and Configuration Management,Asset and Configuration Management,Asset and Configuration Management
7,Beazley,Beazley Ransomware Supplemental Application,de633464-c433-44e1-a524-fb0822d746fa.pdf,2,17. Do you have an up-to-date asset database?,Asset and Configuration Management,Asset and Configuration Management,Asset and Configuration Management
8,Beazley,Beazley Ransomware Supplemental Application,de633464-c433-44e1-a524-fb0822d746fa.pdf,2,18. Do you have an up-to-date configuration management database (CMDB)?,Asset and Configuration Management,Asset and Configuration Management,Asset and Configuration Management
9,Beazley,Beazley Ransomware Supplemental Application,de633464-c433-44e1-a524-fb0822d746fa.pdf,2,"b. If “Yes” to a., are all privileged accounts managed with a PAM tool?",Password and Privileged Access Management,Password and Privileged Access Management,Password and Privileged Access Management
10,Beazley,Beazley Ransomware Supplemental Application,de633464-c433-44e1-a524-fb0822d746fa.pdf,2,"b. If “Yes” to a., do you enforce MFA for access to web-based email?",Multi-Factor Authentication,Multi-Factor Authentication,Multi-Factor Authentication
