unit_id,insurer,document_label,source_file,page,question_text,auto_codes,coder1_final,coder2_final,consensus_code,notes
28,Beazley,Beazley Ransomware Supplemental Application,Beazley Ransomware Supplemental Application - 2025 (3).pdf,3,"21. Do you configure service accounts using the principle of least privilege? (I.e., have you removed domain administrator privileges from those service accounts that don’t require such privileges to function?)",Password and Privileged Access Management,NA,NA,NA,NA
80,Beazley,Beazley Media E&O Application,beazley_media_liability_us (4).pdf,4,"If YES, do you have automatic encryption of such data? YES NO If NO, please state approximately how many devices are likely to have PII on them: 0-25 26-50 51-100 > 100",Data Inventory and Sensitive Data Exposure; Encryption and Data Protection,NA,NA,NA,NA
150,The Hartford,CyberChoice Underwriting Application,Hartford Cyber Application (3).pdf,3,Does any applicant accept fund transfer requests from customers?,REVIEW_NEEDED,NA,NA,NA,NA
101,Coalition,Coalition Cyber & Technology E&O Application,Coalition-Application - CyberTechEO-US (3).pdf,1,"3 Does Named Insured implement encryption on laptop computers, desktop computers, and other NO YES SOMETIMES portable media devices?",Encryption and Data Protection,NA,NA,NA,NA
111,Coalition,Coalition Cyber & Technology E&O Application,Coalition-Application - CyberTechEO-US (3).pdf,2,"8 Within the last 3 years has Named Insured been subject to any complaints concerning the content of its website, NO YES advertising materials, social media, or other publications?",Media and Content Governance,NA,NA,NA,NA
137,The Hartford,CyberChoice Underwriting Application,Hartford Cyber Application (3).pdf,1,"Does your business have a website? Yes No If yes, please list primary website address or domain: And, is your business’ email hosted through this web domain?",REVIEW_NEEDED,NA,NA,NA,NA
133,Coalition,Coalition Cyber Policy Application,Cyber Application  - Coalition (3).pdf,2,"7c Any request to change banking details (ACH, wire, payroll distribution, etc.)?",Funds Transfer and Social Engineering Controls,NA,NA,NA,NA
144,The Hartford,CyberChoice Underwriting Application,Hartford Cyber Application (3).pdf,3,"6. Data, Privacy & Media Data Inventory",REVIEW_NEEDED,NA,NA,NA,NA
132,Coalition,Coalition Cyber Policy Application,Cyber Application  - Coalition (3).pdf,2,"7b Funds transfer requests (ACH, wire, etc.) before processing a request in excess of $25,000?",Funds Transfer and Social Engineering Controls,NA,NA,NA,NA
98,Chubb,Chubb Cyber Enterprise Application,Chubb Cyber 2024 (3).pdf,3,Does the Applicant currently purchase Media Liability Insurance?,REVIEW_NEEDED,NA,NA,NA,NA
103,Coalition,Coalition Cyber & Technology E&O Application,Coalition-Application - CyberTechEO-US (3).pdf,1,"4a (If Yes) What is the estimated annual volume of payment card transactions (credit cards, debit cards, etc.)? NO RECORDS LESS THAN 100,000 100,000 – 500,000 500,000 – 1,000,000 OVER 1,000,000:",Data Inventory and Sensitive Data Exposure,NA,NA,NA,NA
90,Chubb,Chubb Cyber Enterprise Application,Chubb Cyber 2024 (3).pdf,3,5) Critical Data Backup and Recovery Procedures,Backups and Recovery,NA,NA,NA,NA
70,Beazley,Beazley Media E&O Application,beazley_media_liability_us (4).pdf,3,"c) When creating content under contract, do you always obtain written client sign‐off before it is printed, aired or published?",Media and Content Governance,NA,NA,NA,NA
79,Beazley,Beazley Media E&O Application,beazley_media_liability_us (4).pdf,4,"d) Do you allow PII to be stored on any mobile devices, such as laptops, tablets or USB sticks?",Data Inventory and Sensitive Data Exposure; Encryption and Data Protection,NA,NA,NA,NA
116,Coalition,Coalition Cyber Policy Application,Cyber Application  - Coalition (3).pdf,1,"1 During the past three years, did Named Insured experience a cyber incident, claim or loss, whether insured or not,",REVIEW_NEEDED,NA,NA,NA,NA
14,Beazley,Beazley Ransomware Supplemental Application,Beazley Ransomware Supplemental Application - 2025 (3).pdf,1,"9. Have you disabled legacy email protocols that use basic authentication (a username and password only), such as IMAP, POP3, and SMTP?",REVIEW_NEEDED,NA,NA,NA,NA
126,Coalition,Coalition Cyber Policy Application,Cyber Application  - Coalition (3).pdf,2,6 For which of the following services do you enforce Multi-Factor Authentication (MFA)?,Multi-Factor Authentication,NA,NA,NA,NA
62,Beazley,Beazley Ransomware Supplemental Application,Beazley Ransomware Supplemental Application - 2025 (3).pdf,4,"45. a. Do you have a business continuity or disaster recovery plan, that includes responding to cybersecurity threats, that was created or updated within the past two years?",Incident Response and Business Continuity,NA,NA,NA,NA
4,Beazley,Beazley Ransomware Supplemental Application,Beazley Ransomware Supplemental Application - 2025 (3).pdf,1,4. What security controls do you have in place for incoming email? Choose all that apply.,REVIEW_NEEDED,NA,NA,NA,NA
