unit_id,insurer,document_label,source_file,page,question_text,auto_codes,coder1_final,coder2_final,consensus_code,notes
1,Beazley,Beazley Ransomware Supplemental Application,Beazley Ransomware Supplemental Application - 2025 (3).pdf,1,1. a. Annual IT budget $ b. Percentage of IT budget spent on cybersecurity %,REVIEW_NEEDED,NA,NA,NA,NA
2,Beazley,Beazley Ransomware Supplemental Application,Beazley Ransomware Supplemental Application - 2025 (3).pdf,1,2. a. Full-time IT employees b. Full-time IT cybersecurity employees,REVIEW_NEEDED,NA,NA,NA,NA
3,Beazley,Beazley Ransomware Supplemental Application,Beazley Ransomware Supplemental Application - 2025 (3).pdf,1,3. Cybersecurity point of contact (CISO or equivalent role): Name Title Email Telephone Email Security,Email Security,NA,NA,NA,NA
4,Beazley,Beazley Ransomware Supplemental Application,Beazley Ransomware Supplemental Application - 2025 (3).pdf,1,4. What security controls do you have in place for incoming email? Choose all that apply.,REVIEW_NEEDED,NA,NA,NA,NA
5,Beazley,Beazley Ransomware Supplemental Application,Beazley Ransomware Supplemental Application - 2025 (3).pdf,1,a. Screening for malicious attachments e. Tagging external emails,Email Security; Funds Transfer and Social Engineering Controls,NA,NA,NA,NA
6,Beazley,Beazley Ransomware Supplemental Application,Beazley Ransomware Supplemental Application - 2025 (3).pdf,1,b. Screening for malicious links f. DomainKeys Identified Mail (DKIM),Email Security,NA,NA,NA,NA
7,Beazley,Beazley Ransomware Supplemental Application,Beazley Ransomware Supplemental Application - 2025 (3).pdf,1,c. Quarantine service g. Sender Policy Framework (SPF) strictly enforced,Email Security,NA,NA,NA,NA
8,Beazley,Beazley Ransomware Supplemental Application,Beazley Ransomware Supplemental Application - 2025 (3).pdf,1,"d. Detonation and evaluation of attachments h. Domain Based Message Authentication, Reporting in a sandbox and Conformance (DMARC)",Email Security; Funds Transfer and Social Engineering Controls,NA,NA,NA,NA
9,Beazley,Beazley Ransomware Supplemental Application,Beazley Ransomware Supplemental Application - 2025 (3).pdf,1,5. How frequently do you conduct the following training for all employees? Type of training,REVIEW_NEEDED,NA,NA,NA,NA
10,Beazley,Beazley Ransomware Supplemental Application,Beazley Ransomware Supplemental Application - 2025 (3).pdf,1,a. Interactive phishing training,Data Inventory and Sensitive Data Exposure; Security Awareness and Phishing Training,NA,NA,NA,NA
11,Beazley,Beazley Ransomware Supplemental Application,Beazley Ransomware Supplemental Application - 2025 (3).pdf,1,b. Phishing email simulations,Data Inventory and Sensitive Data Exposure,NA,NA,NA,NA
12,Beazley,Beazley Ransomware Supplemental Application,Beazley Ransomware Supplemental Application - 2025 (3).pdf,1,6. Do you require additional training for employees who fail phishing email simulations?,Data Inventory and Sensitive Data Exposure; Security Awareness and Phishing Training,NA,NA,NA,NA
13,Beazley,Beazley Ransomware Supplemental Application,Beazley Ransomware Supplemental Application - 2025 (3).pdf,1,"b. If you use Microsoft 365, do you use the Microsoft 365 Defender (formerly known as Advanced Threat Protection) add-on or an equivalent cybersecurity product with advanced threat hunting? (Leave blank if you do not use Microsoft 365.)",REVIEW_NEEDED,NA,NA,NA,NA
14,Beazley,Beazley Ransomware Supplemental Application,Beazley Ransomware Supplemental Application - 2025 (3).pdf,1,"9. Have you disabled legacy email protocols that use basic authentication (a username and password only), such as IMAP, POP3, and SMTP?",REVIEW_NEEDED,NA,NA,NA,NA
15,Beazley,Beazley Ransomware Supplemental Application,Beazley Ransomware Supplemental Application - 2025 (3).pdf,2,"11. a. Do you permit users remote access to web-based email (e.g., Outlook Web Access (OWA))?",REVIEW_NEEDED,NA,NA,NA,NA
16,Beazley,Beazley Ransomware Supplemental Application,Beazley Ransomware Supplemental Application - 2025 (3).pdf,2,"b. If “Yes” to a., do you enforce MFA for access to web-based email?",Multi-Factor Authentication,NA,NA,NA,NA
17,Beazley,Beazley Ransomware Supplemental Application,Beazley Ransomware Supplemental Application - 2025 (3).pdf,2,12. Do you provide your employees with password management software?,Password and Privileged Access Management,NA,NA,NA,NA
18,Beazley,Beazley Ransomware Supplemental Application,Beazley Ransomware Supplemental Application - 2025 (3).pdf,2,"13. Do you enforce MFA for all Domain Administrator accounts? Please note any exceptions in the “Other Cybersecurity Controls & Preventative Measures” section, below. “Domain Administrator accounts” does not include service accounts, which are addressed in a separate section below.",Multi-Factor Authentication,NA,NA,NA,NA
19,Beazley,Beazley Ransomware Supplemental Application,Beazley Ransomware Supplemental Application - 2025 (3).pdf,2,"14. Do you permit ordinary users local administrator rights to their devices (e.g., laptops)?",Password and Privileged Access Management,NA,NA,NA,NA
